Year,Month,Sales
2014,April,28295.345
2014,August,27909.4685
2014,December,69545.6205
2014,February,4519.892
2014,January,14236.895
2014,July,33946.393
2014,June,34595.1276
2014,March,55691.009
2014,May,23648.287
2014,November,78628.7167
2014,October,31453.393
2014,September,81777.3508
2015,April,34195.2085
2015,August,36898.3322
2015,December,74919.5212
2015,February,11951.411
2015,January,18174.0756
2015,July,28765.325
2015,June,24797.292
2015,March,38726.252
2015,May,30131.6865
2015,November,75972.5635
2015,October,31404.9235
2015,September,64595.918
2016,April,38750.039000000004
2016,August,31115.3743
2016,December,96999.043
2016,February,22978.815
2016,January,18542.490999999998
2016,July,39261.963
2016,June,40344.534
2016,March,51715.875
2016,May,56987.728
2016,November,79411.9658
2016,October,59687.745
2016,September,73410.0249
2017,April,36521.5361
2017,August,63120.888
2017,December,83829.3188
2017,February,20301.1334
2017,January,43971.374
2017,July,45264.416
2017,June,52981.7257
2017,March,58872.3528
2017,May,44261.1102
2017,November,118447.825
2017,October,77776.9232
2017,September,87866.652
